id,username,movie_name,text,dataset,manipulation,click_locations,difficulty,split
0,Vlad Hondru,553_W040.mp4,"The lower teeth are not clear, but rather pixelated. Upper teeth not well defined.",Deeperforensics,end_to_end,"{""100"": {""x"": 0.5416666666666666, ""y"": 0.6266666666666667}, ""123"": {""x"": 0.5216666666666666, ""y"": 0.6133333333333333}, ""149"": {""x"": 0.56, ""y"": 0.6177777777777778}}",3,train
1,Vlad Hondru,755_M011.mp4,There is a shadow under the chin. The brows unite through a shade.,Deeperforensics,end_to_end,"{""126"": {""x"": 0.3466666666666667, ""y"": 0.2997032640949555}, ""272"": {""x"": 0.34, ""y"": 0.5341246290801187}}",3,train
2,Vlad Hondru,608_M119.mp4,The whole face is flickering.,Deeperforensics,end_to_end,"{""41"": {""x"": 0.46166666666666667, ""y"": 0.3145833333333333}, ""64"": {""x"": 0.5683333333333334, ""y"": 0.3125}, ""95"": {""x"": 0.59, ""y"": 0.3854166666666667}, ""107"": {""x"": 0.53, ""y"": 0.39375}, ""116"": {""x"": 0.4766666666666667, ""y"": 0.3625}, ""136"": {""x"": 0.5283333333333333, ""y"": 0.2833333333333333}}",1,train
3,Vlad Hondru,762_W026.mp4,The irises are changing the colors. Some distortions of the mouth are present.,Deeperforensics,end_to_end,"{""222"": {""x"": 0.4633333333333333, ""y"": 0.3511111111111111}, ""280"": {""x"": 0.4716666666666667, ""y"": 0.33111111111111113}, ""396"": {""x"": 0.49, ""y"": 0.26222222222222225}, ""49"": {""x"": 0.435, ""y"": 0.26222222222222225}, ""75"": {""x"": 0.49666666666666665, ""y"": 0.25555555555555554}}",2,train
4,Vlad Hondru,601_M119.mp4,The skin brightness of the face is continuously changing.,Deeperforensics,end_to_end,"{""51"": {""x"": 0.52, ""y"": 0.3613636363636364}, ""76"": {""x"": 0.37666666666666665, ""y"": 0.4}, ""95"": {""x"": 0.5116666666666667, ""y"": 0.38181818181818183}, ""125"": {""x"": 0.3883333333333333, ""y"": 0.38181818181818183}, ""145"": {""x"": 0.53, ""y"": 0.36363636363636365}}",1,train
5,Vlad Hondru,738_W022.mp4,The eyes are slightly jittering left and right.,Deeperforensics,end_to_end,"{""74"": {""x"": 0.43833333333333335, ""y"": 0.27596439169139464}, ""133"": {""x"": 0.505, ""y"": 0.3026706231454006}}",3,train
6,Vlad Hondru,737_M010.mp4,There is almost no blinking throughout the entire video. The mouth motions are also not natural and on a few occasions the teeth cannot be seen.,Deeperforensics,end_to_end,"{""257"": {""x"": 0.428, ""y"": 0.26}, ""292"": {""x"": 0.428, ""y"": 0.2475}, ""100"": {""x"": 0.402, ""y"": 0.3275}}",2,train
7,Vlad Hondru,640_M122.mp4,The face is continuously deforming.,Deeperforensics,end_to_end,"{""62"": {""x"": 0.355, ""y"": 0.4629080118694362}, ""97"": {""x"": 0.3883333333333333, ""y"": 0.5578635014836796}, ""124"": {""x"": 0.495, ""y"": 0.4124629080118694}, ""225"": {""x"": 0.5816666666666667, ""y"": 0.4629080118694362}, ""241"": {""x"": 0.4083333333333333, ""y"": 0.4599406528189911}, ""292"": {""x"": 0.5066666666666667, ""y"": 0.5133531157270029}}",1,train
8,Vlad Hondru,571_M115.mp4,"For brief moments, the upper lip and upper teeth were flickering.",Deeperforensics,end_to_end,"{""229"": {""x"": 0.5283333333333333, ""y"": 0.29376854599406527}, ""306"": {""x"": 0.5533333333333333, ""y"": 0.3056379821958457}, ""489"": {""x"": 0.535, ""y"": 0.3115727002967359}}",3,train
9,Vlad Hondru,503_W134.mp4,"The skin is not uniform, with some artifacts on the nose.",Deeperforensics,end_to_end,"{""148"": {""x"": 0.315, ""y"": 0.32222222222222224}, ""168"": {""x"": 0.31, ""y"": 0.3}, ""252"": {""x"": 0.31666666666666665, ""y"": 0.36444444444444446}, ""395"": {""x"": 0.30833333333333335, ""y"": 0.37555555555555553}}",2,train
10,Vlad Hondru,734_M009.mp4,The lips are trembling on a few occasions.,Deeperforensics,end_to_end,"{""487"": {""x"": 0.515, ""y"": 0.2733485193621868}, ""801"": {""x"": 0.47, ""y"": 0.30296127562642367}}",3,train
11,Vlad Hondru,825_W035.mp4,Some flickering on the face. The upper and lower teeth have a different texture.,Deeperforensics,end_to_end,"{""54"": {""x"": 0.5883333333333334, ""y"": 0.629080118694362}, ""91"": {""x"": 0.36333333333333334, ""y"": 0.629080118694362}, ""130"": {""x"": 0.4483333333333333, ""y"": 0.712166172106825}, ""166"": {""x"": 0.4816666666666667, ""y"": 0.7210682492581603}}",1,train
12,Vlad Hondru,561_W041.mp4,"The teeth are unnatural, while the eyes are briefly jittering.",Deeperforensics,end_to_end,"{""346"": {""x"": 0.49333333333333335, ""y"": 0.36795252225519287}, ""378"": {""x"": 0.5016666666666667, ""y"": 0.33827893175074186}, ""255"": {""x"": 0.53, ""y"": 0.22551928783382788}, ""211"": {""x"": 0.475, ""y"": 0.2403560830860534}}",2,train
13,Vlad Hondru,826_M019.mp4,"When the head is rotated, the synthesized face can be observed as it is not blended on the head.",Deeperforensics,end_to_end,"{""31"": {""x"": 0.452, ""y"": 0.3875}, ""116"": {""x"": 0.556, ""y"": 0.3225}, ""241"": {""x"": 0.532, ""y"": 0.535}}",2,train
14,Vlad Hondru,587_W111.mp4,"The mouth motions are not natural. The irises appear to move at a very quick, abnormal pace. Blinking periods are also abnormally long at times.",Deeperforensics,end_to_end,"{""196"": {""x"": 0.402, ""y"": 0.2525}, ""87"": {""x"": 0.36, ""y"": 0.21}, ""496"": {""x"": 0.336, ""y"": 0.3675}}",2,train
15,Vlad Hondru,869_W040.mp4,"The teeth are not clear, but rather blurred.",Deeperforensics,end_to_end,"{""323"": {""x"": 0.8466666666666667, ""y"": 0.2818991097922849}, ""333"": {""x"": 0.845, ""y"": 0.2818991097922849}, ""50"": {""x"": 0.8466666666666667, ""y"": 0.2878338278931751}}",3,train
16,Vlad Hondru,594_M118.mp4,"The head is very thin, the cheeks being very skinny. Furthermore, the nose blends unnaturally with the face.",Deeperforensics,end_to_end,"{""55"": {""x"": 0.474, ""y"": 0.48}, ""70"": {""x"": 0.548, ""y"": 0.53}, ""108"": {""x"": 0.5, ""y"": 0.3675}, ""122"": {""x"": 0.54, ""y"": 0.38}}",2,train
17,Vlad Hondru,818_M018.mp4,"The bottom of the nose is a different color. The glasses do not have lenses, only the frames.",Deeperforensics,end_to_end,"{""275"": {""x"": 0.4816666666666667, ""y"": 0.43026706231454004}, ""349"": {""x"": 0.445, ""y"": 0.3560830860534125}, ""387"": {""x"": 0.5366666666666666, ""y"": 0.3916913946587537}, ""440"": {""x"": 0.505, ""y"": 0.35311572700296734}, ""458"": {""x"": 0.47, ""y"": 0.33827893175074186}}",2,train
18,Vlad Hondru,527_W036.mp4,There are moments when the face is flickering. Feminine and masculine traits are simultaneously observed.,Deeperforensics,end_to_end,"{""258"": {""x"": 0.445, ""y"": 0.37091988130563797}, ""281"": {""x"": 0.49333333333333335, ""y"": 0.3323442136498516}, ""328"": {""x"": 0.5133333333333333, ""y"": 0.3827893175074184}}",1,train
19,Vlad Hondru,828_W035.mp4,There are a few flickers of the skin face. The teeth do not split when talking.,Deeperforensics,end_to_end,"{""48"": {""x"": 0.37, ""y"": 0.2288888888888889}, ""93"": {""x"": 0.36666666666666664, ""y"": 0.43333333333333335}, ""134"": {""x"": 0.38166666666666665, ""y"": 0.46}, ""148"": {""x"": 0.475, ""y"": 0.36666666666666664}}",2,train
20,Vlad Hondru,549_W039.mp4,The lower part of the face is swollen with many artifacts. The nose does not blend with the face.,Deeperforensics,end_to_end,"{""47"": {""x"": 0.5166666666666667, ""y"": 0.26409495548961426}, ""69"": {""x"": 0.53, ""y"": 0.27596439169139464}, ""117"": {""x"": 0.4866666666666667, ""y"": 0.3056379821958457}}",2,train
21,Vlad Hondru,770_M012.mp4,The mouth does not fully open all the time when talking. Some artifacts around the eyes appear.,Deeperforensics,end_to_end,"{""113"": {""x"": 0.515, ""y"": 0.32344213649851633}, ""229"": {""x"": 0.515, ""y"": 0.18100890207715134}}",2,train
22,Vlad Hondru,911_M030.mp4,The eyes and the chin suffer changes along the movie.,Deeperforensics,end_to_end,"{""76"": {""x"": 0.45666666666666667, ""y"": 0.35014836795252224}, ""105"": {""x"": 0.5333333333333333, ""y"": 0.35014836795252224}, ""229"": {""x"": 0.49, ""y"": 0.599406528189911}, ""250"": {""x"": 0.49166666666666664, ""y"": 0.5845697329376854}, ""325"": {""x"": 0.5416666666666666, ""y"": 0.45103857566765576}, ""329"": {""x"": 0.4066666666666667, ""y"": 0.516320474777448}}",1,train
23,Vlad Hondru,886_M027.mp4,"There are artifacts from the eyeglasses frames, but the lenses are not present. Mouth is unnatural.",Deeperforensics,end_to_end,"{""49"": {""x"": 0.4, ""y"": 0.2688888888888889}, ""74"": {""x"": 0.5583333333333333, ""y"": 0.25555555555555554}, ""101"": {""x"": 0.4483333333333333, ""y"": 0.3888888888888889}, ""114"": {""x"": 0.48333333333333334, ""y"": 0.38222222222222224}, ""127"": {""x"": 0.5066666666666667, ""y"": 0.38}}",2,train
24,Vlad Hondru,551_M109.mp4,Small artifacts around the right eyebrow. The teeth are blurred and pointy.,Deeperforensics,end_to_end,"{""264"": {""x"": 0.2916666666666667, ""y"": 0.2522255192878338}, ""404"": {""x"": 0.27, ""y"": 0.17507418397626112}}",3,train
25,Vlad Hondru,750_W023.mp4,The mouth has distortions and leave residuals behind. The eyes are darting and suffer changing.,Deeperforensics,end_to_end,"{""26"": {""x"": 0.44, ""y"": 0.3560830860534125}, ""39"": {""x"": 0.47833333333333333, ""y"": 0.3560830860534125}, ""65"": {""x"": 0.4583333333333333, ""y"": 0.35311572700296734}, ""117"": {""x"": 0.465, ""y"": 0.2551928783382789}, ""217"": {""x"": 0.44666666666666666, ""y"": 0.2433234421364985}, ""247"": {""x"": 0.5066666666666667, ""y"": 0.2522255192878338}, ""270"": {""x"": 0.43833333333333335, ""y"": 0.26112759643916916}}",2,train
26,Vlad Hondru,954_W101.mp4,"The upper teeth are not visible, but rather a black area.",Deeperforensics,end_to_end,"{""129"": {""x"": 0.51, ""y"": 0.36666666666666664}, ""148"": {""x"": 0.53, ""y"": 0.35555555555555557}}",3,train
27,Vlad Hondru,870_W040.mp4,"THe mouth moves very fast, while there are some distortions around the right dimple.",Deeperforensics,end_to_end,"{""241"": {""x"": 0.395, ""y"": 0.29376854599406527}, ""268"": {""x"": 0.365, ""y"": 0.2997032640949555}, ""310"": {""x"": 0.36, ""y"": 0.29080118694362017}, ""376"": {""x"": 0.36333333333333334, ""y"": 0.3115727002967359}}",2,train
28,Vlad Hondru,835_W036.mp4,Small flickering of the face. The color of the skin face is not uniform.,Deeperforensics,end_to_end,"{""55"": {""x"": 0.4816666666666667, ""y"": 0.34718100890207715}, ""147"": {""x"": 0.5383333333333333, ""y"": 0.3887240356083086}, ""161"": {""x"": 0.43666666666666665, ""y"": 0.3798219584569733}}",2,train
29,Vlad Hondru,742_M010.mp4,The face is different than the forehead. The eyebrows are deforming.,Deeperforensics,end_to_end,"{""60"": {""x"": 0.4633333333333333, ""y"": 0.2222222222222222}, ""334"": {""x"": 0.5033333333333333, ""y"": 0.23333333333333334}}",1,train
30,Vlad Hondru,564_M114.mp4,The skin has many wrinkles. The teeth do not seem real.,Deeperforensics,end_to_end,"{""65"": {""x"": 0.5016666666666667, ""y"": 0.3353115727002967}, ""83"": {""x"": 0.4216666666666667, ""y"": 0.3323442136498516}, ""99"": {""x"": 0.4683333333333333, ""y"": 0.3323442136498516}, ""142"": {""x"": 0.47333333333333333, ""y"": 0.4807121661721068}}",2,train
